id,name,type,frameType,desc,race,atk,def,level,attribute,archetype,Set Code,Set_Rarity,Set_Name,Set_Price
1475311,Allure of Darkness,Spell Card,spell,"Draw 2 cards, then banish 1 DARK monster from your hand, or, if you do not have any in your hand, send your entire hand to the GY.",Normal,,,,,,SS05-ENA26,(C),Speed Duel Starter Decks: Twisted Nightmares,11.76
52090844,Bowganian,Effect Monster,effect,"Once per turn, during your Standby Phase: Inflict 600 damage to your opponent.",Machine,1300.0,1000.0,3.0,DARK,,SS05-ENB20,(C),Speed Duel Starter Decks: Twisted Nightmares,1.25
74277583,Brave Scizzar,Normal Monster,normal,"Armed with a mass of scissors, this monster can clip an enemy into any desired shape and size.",Machine,1300.0,1000.0,4.0,DARK,,SS05-ENB03,(C),Speed Duel Starter Decks: Twisted Nightmares,1.26
17597059,Byser Shock,Effect Monster,effect,If this card is Summoned: Return all Set cards on the field to the hand.,Fiend,800.0,600.0,5.0,DARK,,SS05-ENB12,(C),Speed Duel Starter Decks: Twisted Nightmares,1.24
65830223,Coffin Seller,Trap Card,trap,Each time a monster(s) is sent to your opponent's GY: Inflict 300 damage to your opponent.,Continuous,,,,,,SS05-ENB28,(C),Speed Duel Starter Decks: Twisted Nightmares,1.27
40465719,Common Charity,Trap Card,trap,"Draw 2 cards, then banish 1 Normal Monster from your hand, or, if you do not have any in your hand, send your entire hand to the GY.",Normal,,,,,,SS05-ENA29,(C),Speed Duel Starter Decks: Twisted Nightmares,1.11
15305240,Creature Seizure,Spell Card,spell,Each player gives their opponent control of 1 of their monsters (controller's choice). You must choose a face-up Normal Monster.,Normal,,,,,,SS05-ENB23,(C),Speed Duel Starter Decks: Twisted Nightmares,1.1
78811937,Creeping Darkness,Spell Card,spell,Banish 2 DARK monsters from your GY; add 1 Level 4 DARK monster from your Deck to your hand.,Normal,,,,,,SS05-ENA27,(C),Speed Duel Starter Decks: Twisted Nightmares,1.23
674561,Dark Eruption,Spell Card,spell,Target 1 DARK monster with 1500 or less ATK in your GY; add that target to your hand.,Normal,,,,,,SS05-ENA24,(C),Speed Duel Starter Decks: Twisted Nightmares,1.12
90980792,Dark Jeroid,Effect Monster,effect,If this card is Summoned: Target 1 face-up monster on the field; it loses 800 ATK.,Fiend,1200.0,1500.0,4.0,DARK,Roid,SS05-ENB18,(C),Speed Duel Starter Decks: Twisted Nightmares,1.24
85313220,Dark Lucius LV4,Effect Monster,effect,"Negate the effects of your opponent's monsters destroyed by battle with this card. Once per turn, during the Standby Phase of your next turn after this card has destroyed a monster by battle: You can send this card to the GY; Special Summon 1 ""Dark Lucius LV6"" from your hand or Deck.",Fiend,1000.0,300.0,4.0,EARTH,,SS05-ENB10,(C),Speed Duel Starter Decks: Twisted Nightmares,1.12
12817939,Dark Lucius LV6,Effect Monster,effect,"If this card was Special Summoned by the effect of ""Dark Lucius LV4"", negate the effects of your opponent's monsters destroyed by battle with this card. Once per turn, during the Standby Phase of your next turn after this card negated your opponent's monster effect by this effect: You can send this card to the GY; Special Summon 1 ""Dark Lucius LV8"" from your hand or Deck.",Fiend,1700.0,600.0,6.0,EARTH,,SS05-ENB09,(C),Speed Duel Starter Decks: Twisted Nightmares,1.2
58206034,Dark Lucius LV8,Effect Monster,effect,"If this card was Special Summoned by the effect of ""Dark Lucius LV6"", banish your opponent's monsters destroyed by battle with this card, also negate their effects.",Fiend,2800.0,900.0,8.0,EARTH,,SS05-ENB08,(C),Speed Duel Starter Decks: Twisted Nightmares,1.16
74713516,Dark Mimic LV1,Flip Effect Monster,effect,"FLIP: Draw 1 card.
Once per turn, during your Standby Phase: You can send this card to the GY; Special Summon 1 ""Dark Mimic LV3"" from your hand or Deck.",Fiend,100.0,1000.0,1.0,DARK,,SS05-ENA18,(C),Speed Duel Starter Decks: Twisted Nightmares,2.08
1102515,Dark Mimic LV3,Effect Monster,effect,"If this card is destroyed by battle and sent to the GY: Draw 1 card, but if this card was Special Summoned by the effect of ""Dark Mimic LV1"", draw 2 cards instead.",Fiend,1000.0,1000.0,3.0,DARK,,SS05-ENA17,(C),Speed Duel Starter Decks: Twisted Nightmares,1.28
31829185,Dark Necrofear,Effect Monster,effect,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 3 Fiend monsters from your GY. During the End Phase, if this card is in your GY because it was destroyed in your Monster Zone by an opponent's card and sent there this turn: Target 1 face-up monster your opponent controls; equip this card to that target. While this card is equipped to a monster by this effect, take control of that monster.",Fiend,2200.0,2800.0,8.0,DARK,,SS05-ENA01,(C),Speed Duel Starter Decks: Twisted Nightmares,1.23
89558090,Dark Prisoner,Normal Monster,normal,This monster bends light to hide its image from the eyes of opponents.,Fiend,600.0,1000.0,3.0,DARK,,SS05-ENB06,(C),Speed Duel Starter Decks: Twisted Nightmares,1.21
53982768,Dark Ruler Ha Des,Effect Monster,effect,Cannot be Special Summoned from the GY. Negate the effects of monsters destroyed by battle with Fiend monsters you control.,Fiend,2450.0,1600.0,6.0,DARK,,SS05-ENA11,(C),Speed Duel Starter Decks: Twisted Nightmares,1.33
30325729,Dokuroyaiba,Normal Monster,normal,A boomerang with brains that will pursue a target to the ends of the earth.,Fiend,1000.0,400.0,3.0,FIRE,,SS05-ENB07,(C),Speed Duel Starter Decks: Twisted Nightmares,1.12
99050989,Drillago,Effect Monster,effect,"If the only cards your opponent controls are face-up monsters with 1600 or more ATK, this card can attack your opponent directly.",Machine,1600.0,1100.0,4.0,DARK,,SS05-ENB19,(C),Speed Duel Starter Decks: Twisted Nightmares,1.31
67105242,Earthbound Spirit,Normal Monster,normal,"A vengeful creature formed by the spirits of fallen warriors, it drags any who dare approach it into the deepest bowels of the earth.",Fiend,500.0,2000.0,4.0,EARTH,Earthbound,SS05-ENA08,(C),Speed Duel Starter Decks: Twisted Nightmares,1.27
68396778,Faustian Bargain,Spell Card,spell,"Target 1 Special Summoned monster on either field; send it to the GY, and if you do, Special Summon 1 Level 4 or lower Normal Monster from your hand.",Normal,,,,,,SS05-ENB24,(C),Speed Duel Starter Decks: Twisted Nightmares,1.56
37955049,Gaap the Divine Soldier,Effect Monster,effect,"All monsters are changed to Attack Position, also their battle positions cannot be changed. (Flip Effects are not activated.) Once per turn: You can reveal any number of Fiend monsters in your hand; this card gains 300 ATK for each, until the end of this turn.",Fiend,2200.0,2000.0,6.0,DARK,,SS05-ENA10,(C),Speed Duel Starter Decks: Twisted Nightmares,1.29
38445524,Gil Garth,Normal Monster,normal,This steel-armored terror machine ruthlessly strikes down enemies with its giant katana.,Fiend,1800.0,1200.0,4.0,DARK,,SS05-ENB05,(C),Speed Duel Starter Decks: Twisted Nightmares,1.32
5434080,Headless Knight,Normal Monster,normal,A haunted spirit of a falsely accused knight who wanders in search of truth and justice.,Fiend,1450.0,1700.0,4.0,EARTH,,SS05-ENA07,(C),Speed Duel Starter Decks: Twisted Nightmares,1.26
76052811,Helpoemer,Effect Monster,effect,"Cannot be Special Summoned from the GY. At the end of your opponent's Battle Phase, if this card is in the GY because it was destroyed by battle: Make your opponent discard 1 random card. This card must be in the GY to activate and to resolve this effect.",Fiend,2000.0,1400.0,5.0,DARK,,SS05-ENB13,(C),Speed Duel Starter Decks: Twisted Nightmares,1.25
300205001,Inner Conflict,Skill Card,skill,"[Flip this card over when you activate this Skill.]

Activate this Skill during your Main Phase. Once per Duel, you can pay half your LP and take control of 1 monster your opponent controls until the End Phase, but it cannot attack directly this turn.",Yami Bakura,,,,,,SS05-ENS01,(C),Speed Duel Starter Decks: Twisted Nightmares,1.65
300205002,Into the Darkness Below,Skill Card,skill,"[Flip this card over when you activate this Skill.]

Activate this Skill during your Main Phase. Once per turn, you can discard 1 Normal Fiend Monster, then use 1 of the following Skills.
● Draw 1 card, also flip this card over.
● If you have 4 or more Fiend Normal Monsters with different names in your GY, add 1 monster from your Deck to your hand, also flip this card over.",Yami Bakura,,,,,,SS05-ENS02,(C),Speed Duel Starter Decks: Twisted Nightmares,1.24
90147755,Lady Assailant of Flames,Flip Effect Monster,effect,FLIP: Banish the top 3 cards of your Deck; inflict 800 damage to your opponent.,Pyro,1500.0,1000.0,4.0,FIRE,,SS05-ENB15,(C),Speed Duel Starter Decks: Twisted Nightmares,1.09
79418153,Lancer Archfiend,Effect Monster,effect,"Once per turn, when your monster declares an attack on your opponent's Defense Position monster: You can activate this effect; during that battle, if that monster attacks a Defense Position monster, inflict piercing battle damage to your opponent.",Fiend,1600.0,1400.0,4.0,DARK,Archfiend,SS05-ENA16,(C),Speed Duel Starter Decks: Twisted Nightmares,1.33
102380,Lava Golem,Effect Monster,effect,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) to your opponent's field by Tributing 2 monsters they control. You cannot Normal Summon/Set the turn you Special Summon this card. Once per turn, during your Standby Phase: Take 1000 damage.",Fiend,3000.0,2500.0,8.0,FIRE,,SS05-ENB01,(C),Speed Duel Starter Decks: Twisted Nightmares,5.17
99747800,Legendary Fiend,Effect Monster,effect,"Once per turn, during your Standby Phase: This card gains 700 ATK.",Fiend,1500.0,1800.0,6.0,DARK,,SS05-ENB11,(C),Speed Duel Starter Decks: Twisted Nightmares,1.23
16475472,Lesser Fiend,Effect Monster,effect,"(This card is always treated as an ""Archfiend"" card.)
Banish any monster destroyed by battle with this card.",Fiend,2100.0,1000.0,5.0,DARK,Archfiend,SS05-ENA13,(C),Speed Duel Starter Decks: Twisted Nightmares,1.08
25290459,Level Up!,Spell Card,spell,"Send 1 face-up ""LV"" monster you control to the GY; Special Summon 1 monster from your hand or Deck that is listed in the sent monster's text, ignoring its Summoning conditions.",Normal,,,,,,SS05-ENB22,(C),Speed Duel Starter Decks: Twisted Nightmares,2.43
31034919,Mad Reloader,Effect Monster,effect,"If this card is destroyed by battle and sent to the GY: Send 2 cards from your hand to the GY, and if you do, draw 2 cards.",Fiend,0.0,0.0,1.0,DARK,,SS05-ENA20,(C),Speed Duel Starter Decks: Twisted Nightmares,1.09
98494543,Magical Stone Excavation,Spell Card,spell,"Discard 2 cards, then target 1 Spell in your GY; add it to your hand.",Normal,,,,,,SS05-ENV02,(UR),Speed Duel Starter Decks: Twisted Nightmares,2.4
28933734,Mask of Darkness,Flip Effect Monster,effect,FLIP: Target 1 Trap in your GY; add that target to your hand.,Fiend,900.0,400.0,2.0,DARK,Mask,SS05-ENA19,(C),Speed Duel Starter Decks: Twisted Nightmares,1.42
46820049,Mefist the Infernal General,Effect Monster,effect,"If this card attacks a Defense Position monster, inflict piercing battle damage. If this card inflicts battle damage to your opponent: Make your opponent discard 1 random card.",Fiend,1800.0,1700.0,5.0,DARK,,SS05-ENB14,(C),Speed Duel Starter Decks: Twisted Nightmares,1.16
86569121,Melchid the Four-Face Beast,Normal Monster,normal,This monster has four different masks for four different attacks.,Fiend,1500.0,1200.0,4.0,DARK,Mask,SS05-ENB04,(C),Speed Duel Starter Decks: Twisted Nightmares,1.17
26905245,Metal Reflect Slime,Trap Card,trap,Special Summon this card in Defense Position as an Effect Monster (Aqua/WATER/Level 10/ATK 0/DEF 3000). (This card is also still a Trap.) This card cannot attack.,Continuous,,,,,Slime,SS05-ENB29,(C),Speed Duel Starter Decks: Twisted Nightmares,1.51
70084224,Neck Hunter,Normal Monster,normal,A fiend that wields a mean sickle and fires devastating beams from its eyes.,Fiend,1750.0,1900.0,6.0,DARK,,SS05-ENA02,(C),Speed Duel Starter Decks: Twisted Nightmares,1.26
4335645,Newdoria,Effect Monster,effect,If this card is destroyed by battle and sent to the GY: Target 1 monster on the field; destroy that target.,Fiend,1200.0,800.0,4.0,DARK,,SS05-ENB17,(C),Speed Duel Starter Decks: Twisted Nightmares,1.5
54704216,Nightmare Wheel,Trap Card,trap,"Activate this card by targeting 1 monster your opponent controls; it cannot attack or change its battle position. When it leaves the field, destroy this card. Once per turn, during your Standby Phase: Inflict 500 damage to your opponent. That monster must be on the field to activate and to resolve this effect.",Continuous,,,,,,SS05-ENB27,(C),Speed Duel Starter Decks: Twisted Nightmares,4.82
19230407,Offerings to the Doomed,Spell Card,spell,"Target 1 face-up monster on the field; destroy that target, also skip your next Draw Phase.",Quick-Play,,,,,,SS05-ENA22,(C),Speed Duel Starter Decks: Twisted Nightmares,2.42
66518841,Prideful Roar,Trap Card,trap,"During damage calculation, if your monster battles an opponent's monster with a higher ATK: Pay LP equal to the difference in ATK; your monster gains ATK equal to that difference +300, during damage calculation only.",Normal,,,,,,SS05-ENB30,(C),Speed Duel Starter Decks: Twisted Nightmares,1.11
82213171,"Prometheus, King of the Shadows",Effect Monster,effect,"If this card is Normal Summoned: Banish 1 or more DARK monsters from your GY, and if you do, this card gains 400 ATK for each, until the end of this turn.",Fiend,1200.0,800.0,4.0,DARK,,SS05-ENA15,(C),Speed Duel Starter Decks: Twisted Nightmares,1.1
41442341,Puppet Master,Effect Monster,effect,"When this card is Tribute Summoned: You can pay 2000 LP, then target 2 Fiend monsters in your GY; Special Summon those targets, but they cannot attack this turn.",Fiend,0.0,0.0,6.0,DARK,,SS05-ENA12,(C),Speed Duel Starter Decks: Twisted Nightmares,1.08
93382620,Rope of Life,Trap Card,trap,"When a monster(s) is destroyed by battle and sent to your GY: Discard your entire hand (min.1), then target 1 of those monsters; Special Summon it, and if you do, it gains 800 ATK.",Normal,,,,,,SS05-ENB26,(C),Speed Duel Starter Decks: Twisted Nightmares,1.18
46565218,Santa Claws,Effect Monster,effect,"You can Special Summon this card (from your hand) to your opponent's field in Defense Position, by Tributing 1 monster they control. If Summoned this way, once, during the End Phase of this turn: You can draw 1 card.",Fiend,1200.0,2500.0,6.0,LIGHT,,SS05-ENV01,(UR),Speed Duel Starter Decks: Twisted Nightmares,4.41
300205003,Shadow Reborn,Skill Card,skill,"[Flip this card over when you activate this Skill.]

Activate this Skill during your Main Phase. Once per Duel, you can pay half your LP and Special Summon 1 monster from either GY, but your opponent takes no battle damage this turn.",Yami Marik,,,,,,SS05-ENS03,(C),Speed Duel Starter Decks: Twisted Nightmares,1.4
17626381,Supply Squad,Spell Card,spell,"Once per turn, if a monster(s) you control is destroyed by battle or card effect: Draw 1 card.",Continuous,,,,,,SS05-ENB25,(C),Speed Duel Starter Decks: Twisted Nightmares,1.33
37120512,Sword of Dark Destruction,Spell Card,spell,Equip only to a DARK monster. It gains 400 ATK and loses 200 DEF.,Equip,,,,,,SS05-ENA21,(C),Speed Duel Starter Decks: Twisted Nightmares,1.11
52367652,That Which Feeds on Life,Normal Monster,normal,A monster that feeds on the energy of other creatures.,Fiend,1200.0,1000.0,4.0,DARK,,SS05-ENA04,(C),Speed Duel Starter Decks: Twisted Nightmares,1.2
66989694,The Earl of Demise,Normal Monster,normal,"This gentlemanly creature is extremely wicked, feared by man and fiend alike.",Fiend,2000.0,700.0,5.0,DARK,,SS05-ENA03,(C),Speed Duel Starter Decks: Twisted Nightmares,1.24
94861297,The Forceful Checkpoint,Trap Card,trap,"When an opponent's monster declares an attack: Look at your opponent's hand, and if there is a Monster Card, negate the attack, then discard 1 monster from their hand (your choice).",Normal,,,,,,SS05-ENA30,(C),Speed Duel Starter Decks: Twisted Nightmares,1.38
68049471,The Gross Ghost of Fled Dreams,Normal Monster,normal,"This monster feeds on the dreams of an unwary sleeper, dragging the victim into eternal slumber.",Fiend,1300.0,1800.0,4.0,DARK,,SS05-ENA06,(C),Speed Duel Starter Decks: Twisted Nightmares,1.17
63125616,The Shadow Who Controls the Dark,Normal Monster,normal,"A shadow that dwells in the dark, paralyzing its opponents and rendering them harmless.",Fiend,800.0,700.0,3.0,DARK,,SS05-ENA09,(C),Speed Duel Starter Decks: Twisted Nightmares,1.22
79759861,Tribute to the Doomed,Spell Card,spell,"Discard 1 card, then target 1 monster on the field; destroy it.",Normal,,,,,,SS05-ENB21,(C),Speed Duel Starter Decks: Twisted Nightmares,1.47
88132637,Twin-Headed Wolf,Effect Monster,effect,"While you control another Fiend monster, negate the effects of Flip monsters destroyed by battle with this card.",Fiend,1500.0,1000.0,4.0,DARK,,SS05-ENA14,(C),Speed Duel Starter Decks: Twisted Nightmares,1.09
300205004,Twisted Personality,Skill Card,skill,"[At the start of the Duel, flip this card over.]

Each time a player loses LP, place 1 counter on this card (max. 3). Once per turn, during your Main Phase, you can use 1 of the following Skills.
● Remove 2 counters from this card, then discard 1 random card from your opponent's hand.
● Remove 3 counters from this card, then destroy 1 face-up card your opponent controls.",Yami Marik,,,,,,SS05-ENS04,(C),Speed Duel Starter Decks: Twisted Nightmares,1.49
45939841,Twister,Spell Card,spell,"Pay 500 LP, then target 1 face-up Spell/Trap on the field; destroy that target.",Quick-Play,,,,,,SS05-ENA23,(C),Speed Duel Starter Decks: Twisted Nightmares,1.27
90434926,Veil of Darkness,Spell Card,spell,"During your Draw Phase, if you draw a DARK monster(s): You can reveal any number of them; send them to the GY, then you can draw 1 more card.",Continuous,,,,,,SS05-ENA25,(C),Speed Duel Starter Decks: Twisted Nightmares,1.12
56043446,Viser Des,Effect Monster,effect,"If this card is Normal Summoned: Target 1 monster your opponent controls; during your third Standby Phase after this effect's activation, destroy that monster. This card cannot be destroyed by battle while the targeted monster is on the field.",Fiend,500.0,1200.0,4.0,DARK,,SS05-ENB16,(C),Speed Duel Starter Decks: Twisted Nightmares,1.1
91996584,Whiptail Crow,Normal Monster,normal,Attacks from the skies with a whip-like tail.,Fiend,1650.0,1600.0,4.0,DARK,,SS05-ENA05,(C),Speed Duel Starter Decks: Twisted Nightmares,1.09
10315429,Yaiba Robo,Normal Monster,normal,A cubical machine equipped with cutting blades for shredding an opponent to mincemeat.,Machine,1000.0,1300.0,4.0,DARK,,SS05-ENB02,(C),Speed Duel Starter Decks: Twisted Nightmares,1.27
79852326,Zoma the Spirit,Trap Card,trap,Special Summon this card in Defense Position as an Effect Monster (Zombie/DARK/Level 4/ATK 1800/DEF 500). (This card is also still a Trap.) If this card Summoned this way is destroyed by battle: Inflict damage to your opponent equal to the ATK of the monster that destroyed it.,Continuous,,,,,,SS05-ENA28,(C),Speed Duel Starter Decks: Twisted Nightmares,8.29
