id,name,type,frameType,desc,race,archetype,atk,def,level,attribute,Set Code,Set_Rarity,Set_Name,Set_Price
62325062,Adhesion Trap Hole,Trap Card,trap,When your opponent Summons a monster(s): Halve that monster(s)'s original ATK.,Normal,Hole,,,,,SS03-ENB28,(C),Speed Duel Starter Decks: Ultimate Predators,1.09
70924884,Alinsection,Normal Monster,normal,A stag beetle with a saw-like head and arms.,Insect,,950.0,700.0,3.0,EARTH,SS03-ENB07,(C),Speed Duel Starter Decks: Ultimate Predators,1.07
5183693,Amulet of Ambition,Spell Card,spell,"Equip only to a Normal Monster. If it battles a monster with a higher Level, the equipped monster gains 500 ATK x the difference in Levels, during that damage calculation only. When this card is sent to the GY: You can place it on top of your Deck.",Equip,,,,,,SS03-ENB23,(C),Speed Duel Starter Decks: Ultimate Predators,1.1
89904598,Anthrosaurus,Normal Monster,normal,"Dis man-like dinosawz gotta high I.Q., even tho he's lackin' in da strength depawtment. (Kinda like yooz, if ya had a high I.Q.! Nyaah!)",Dinosaur,,1000.0,850.0,3.0,EARTH,SS03-ENA06,(C),Speed Duel Starter Decks: Ultimate Predators,1.06
89091579,Basic Insect,Normal Monster,normal,"Usually found traveling in swarms, this creature's ideal environment is the forest.",Insect,,500.0,700.0,2.0,EARTH,SS03-ENB04,(C),Speed Duel Starter Decks: Ultimate Predators,1.06
1474910,Bee List Soldier,Effect Monster,effect,"You can Tribute this card and 1 face-up Insect monster, except ""Bee List Soldier""; draw 2 cards.",Insect,,500.0,400.0,1.0,WIND,SS03-ENB14,(C),Speed Duel Starter Decks: Ultimate Predators,1.04
30587695,Beetron,Effect Monster,effect,"You can send 1 face-up Spell/Trap you control to the GY, then target 1 Level 4 or lower Insect monster in your GY; Special Summon that Insect monster in Defense Position. You can only use this effect of ""Beetron"" once per turn.",Insect,,1600.0,900.0,4.0,DARK,SS03-ENB15,(C),Speed Duel Starter Decks: Ultimate Predators,1.11
53606874,Big Insect,Normal Monster,normal,"A giant ant that dwells in the jungle, it is powerful whether attacking or defending.",Insect,,1200.0,1500.0,4.0,EARTH,SS03-ENB03,(C),Speed Duel Starter Decks: Ultimate Predators,1.56
79409334,Black Stego,Effect Monster,effect,If this Attack Position card is targeted for an attack: Change this card to Defense Position.,Dinosaur,,1200.0,2000.0,4.0,EARTH,SS03-ENA15,(C),Speed Duel Starter Decks: Ultimate Predators,1.07
38670435,Black Tyranno,Effect Monster,effect,"If the only cards your opponent controls are Defense Position monsters, this card can attack directly.",Dinosaur,,2600.0,1800.0,7.0,EARTH,SS03-ENA07,(C),Speed Duel Starter Decks: Ultimate Predators,1.12
52112003,Card Advance,Spell Card,spell,"Look at up to 5 cards from the top of your Deck, then place them on the top of the Deck in any order. You can Tribute Summon 1 monster in addition to your Normal Summon/Set this turn. (You can only gain this effect once per turn.)",Normal,,,,,,SS03-ENA24,(C),Speed Duel Starter Decks: Ultimate Predators,1.39
40240595,Cocoon of Evolution,Effect Monster,effect,"You can target 1 ""Petit Moth"" you control; equip this card from your hand to that target. While equipped by this effect, the original ATK/DEF of that ""Petit Moth"" becomes the ATK/DEF of ""Cocoon of Evolution"".",Insect,,0.0,2000.0,3.0,EARTH,SS03-ENB09,(C),Speed Duel Starter Decks: Ultimate Predators,1.12
13235258,Corrosive Scales,Trap Card,trap,"Target 1 Insect monster you control; equip this card to it. While you control the equipped monster, your opponent's monsters cannot attack Insect monsters, except the equipped monster. While this card is equipped to a monster, each time your opponent Normal or Special Summons a monster(s), OR activates a card or effect, place 1 Scale Counter on each face-up monster they control. Each monster your opponent controls loses 100 ATK/DEF for each Scale Counter it has.",Normal,,,,,,SS03-ENB27,(C),Speed Duel Starter Decks: Ultimate Predators,1.05
23265313,Cost Down,Spell Card,spell,"Discard 1 card; for the rest of this turn, reduce the Levels of all monsters in your hand by 2 (even after they are Summoned).",Normal,,,,,,SS03-ENA20,(C),Speed Duel Starter Decks: Ultimate Predators,1.52
38289717,Crawling Dragon #2,Normal Monster,normal,A powerful dragon with teeth that can grind almost anything to dust.,Dinosaur,,1600.0,1200.0,4.0,EARTH,SS03-ENA04,(C),Speed Duel Starter Decks: Ultimate Predators,1.05
65287621,Dark Driceratops,Effect Monster,effect,"If this card attacks a Defense Position monster, inflict piercing battle damage.",Dinosaur,,2400.0,1500.0,6.0,EARTH,SS03-ENA12,(C),Speed Duel Starter Decks: Ultimate Predators,1.08
90928333,Dark Factory of Mass Production,Spell Card,spell,Target 2 Normal Monsters in your GY; add them to your hand.,Normal,,,,,,SS03-ENB22,(C),Speed Duel Starter Decks: Ultimate Predators,1.53
300203001,Dinosaur Kingdom,Skill Card,skill,All Dinosaur monsters gain 300 ATK/DEF. ,Rex,,,,,,SS03-ENAS1,(C),Speed Duel Starter Decks: Ultimate Predators,1.06
92755808,Element Saurus,Effect Monster,effect,"Gains the following effect(s) while there is a monster(s) with the following Attribute(s) on the field.
● FIRE: This card gains 500 ATK.
● EARTH: Negate the effects of Effect Monsters destroyed by battle with this card.",Dinosaur,,1500.0,1200.0,4.0,DARK,SS03-ENA14,(C),Speed Duel Starter Decks: Ultimate Predators,1.05
30531525,Enchanting Fitting Room,Spell Card,spell,"Pay 800 LP; excavate the top 4 cards of your Deck and Special Summon all excavated Level 3 or lower Normal Monsters, also, after that, shuffle the rest back into your Deck.",Normal,,,,,,SS03-ENB21,(C),Speed Duel Starter Decks: Ultimate Predators,1.52
94716515,Eradicating Aerosol,Spell Card,spell,Destroy all Insect monsters on the field.,Normal,,,,,,SS03-ENB25,(C),Speed Duel Starter Decks: Ultimate Predators,1.54
87430998,Forest,Spell Card,spell,"All Insect, Beast, Plant, and Beast-Warrior monsters on the field gain 200 ATK/DEF.",Field,,,,,,SS03-ENB17,(C),Speed Duel Starter Decks: Ultimate Predators,1.13
77491079,Gale Lizard,Flip Effect Monster,effect,FLIP: Target 1 monster your opponent controls; return that target to the hand.,Reptile,,1400.0,700.0,4.0,WATER,SS03-ENA11,(C),Speed Duel Starter Decks: Ultimate Predators,1.05
54635862,Gentlemander,Effect Monster,effect,"When an opponent's monster declares an attack: You can Special Summon this card from your hand. Your opponent's monsters cannot attack any monsters, except this one.",Reptile,,1200.0,1000.0,4.0,LIGHT,SS03-ENA16,(C),Speed Duel Starter Decks: Ultimate Predators,1.13
45894482,Gilasaurus,Effect Monster,effect,You can Special Summon this card (from your hand). If Summoned this way: Activate this effect; your opponent can Special Summon 1 monster from their GY.,Dinosaur,,1400.0,400.0,3.0,EARTH,SS03-ENA10,(C),Speed Duel Starter Decks: Ultimate Predators,1.12
14472500,Gokipon,Effect Monster,effect,When this card is destroyed by battle and sent to the GY: You can add 1 Insect monster with 1500 or less ATK from your Deck to your hand.,Insect,,800.0,800.0,2.0,EARTH,SS03-ENB13,(C),Speed Duel Starter Decks: Ultimate Predators,1.04
45141013,Heat Wave,Spell Card,spell,"At the start of your Main Phase 1: Neither player can Normal or Special Summon Effect Monsters, until your next Draw Phase.",Normal,,,,,,SS03-ENA23,(C),Speed Duel Starter Decks: Ultimate Predators,3.62
300203004,Hidden Parasite,Skill Card,skill,"Once per turn, you can change all monsters on the field to Insect until the end of this turn, also any battle damage your opponent takes for the rest of this turn is halved. You can only use this Skill up to twice per Duel. ",Weevil,,,,,,SS03-ENBS2,(C),Speed Duel Starter Decks: Ultimate Predators,1.11
11925569,Hunting Instinct,Trap Card,trap,When a monster(s) is Special Summoned to your opponent's field (except during the Damage Step): Special Summon 1 Dinosaur monster from your hand.,Normal,,,,,,SS03-ENA25,(C),Speed Duel Starter Decks: Ultimate Predators,1.62
2671330,Hyper Hammerhead,Effect Monster,effect,"At the end of the Damage Step, if an opponent's monster that battled this card is not destroyed: Return that opponent's monster to the hand.",Dinosaur,,1500.0,1200.0,4.0,EARTH,SS03-ENA13,(C),Speed Duel Starter Decks: Ultimate Predators,1.05
300203003,Hyper Metamorphosis,Skill Card,skill,"You can activate this Skill while you control a Level 3 or lower Insect Normal Monster. Discard 2 cards and Tribute 1 Level 3 or lower Insect Normal Monster you control to Special Summon 1 ""Perfectly Ultimate Great Moth"" from your hand or Deck, ignoring its Summoning conditions. Any damage your opponent takes for the rest of this turn is halved. ",Weevil,,,,,,SS03-ENBS1,(C),Speed Duel Starter Decks: Ultimate Predators,1.05
22991179,Insect Neglect,Spell Card,spell,When your opponent's monster declares an attack: You can banish 1 Insect monster from your GY; negate the attack.,Continuous,,,,,,SS03-ENB19,(C),Speed Duel Starter Decks: Ultimate Predators,1.35
37957847,Insect Princess,Effect Monster,effect,All Insect monsters your opponent controls are changed to Attack Position. If this card destroys an Insect monster by battle: This card gains 500 ATK.,Insect,,1900.0,1200.0,6.0,WIND,SS03-ENB12,(C),Speed Duel Starter Decks: Ultimate Predators,1.06
91512835,Insect Queen,Effect Monster,effect,"This card gains 200 ATK for each Insect monster on the field. Cannot declare an attack unless you Tribute 1 monster. Once per turn, during the End Phase, if this card destroyed an opponent's monster by battle this turn: Special Summon 1 ""Insect Monster Token"" (Insect/EARTH/Level 1/ATK 100/DEF 100) in Attack Position.",Insect,,2200.0,2400.0,7.0,EARTH,SS03-ENB08,(C),Speed Duel Starter Decks: Ultimate Predators,1.08
98954106,Jar of Avarice,Trap Card,trap,"Target 5 cards in your GY, except ""Jar of Avarice""; shuffle all 5 into the Deck, then draw 1 card. You can only activate 1 ""Jar of Avarice"" per turn.",Normal,Greed,,,,,SS03-ENV02,(UR),Speed Duel Starter Decks: Ultimate Predators,1.93
56283725,Kumootoko,Normal Monster,normal,"A massive, intelligent spider that traps enemies with webbing.",Insect,,700.0,1400.0,3.0,EARTH,SS03-ENB06,(C),Speed Duel Starter Decks: Ultimate Predators,1.04
77007920,Laser Cannon Armor,Spell Card,spell,Equip only to an Insect monster. It gains 300 ATK/DEF.,Equip,,,,,,SS03-ENB16,(C),Speed Duel Starter Decks: Ultimate Predators,1.08
82324105,Limit Impulse,Trap Card,trap,"Send 2 cards from your hand to the GY; Special Summon 2 ""Soul Tokens"" (Fiend/DARK/Level 1/ATK 0/DEF 0). They cannot be Tributed except for a Tribute Summon.",Normal,,,,,,SS03-ENA28,(C),Speed Duel Starter Decks: Ultimate Predators,1.06
79870141,Mad Sword Beast,Effect Monster,effect,"If this card attacks a Defense Position monster, inflict piercing battle damage.",Dinosaur,,1400.0,1200.0,4.0,EARTH,SS03-ENA09,(C),Speed Duel Starter Decks: Ultimate Predators,1.03
54652250,Man-Eater Bug,Flip Effect Monster,effect,FLIP: Target 1 monster on the field; destroy it.,Insect,,450.0,600.0,2.0,EARTH,SS03-ENB10,(C),Speed Duel Starter Decks: Ultimate Predators,1.61
300203002,Nightmare Sonic Blast!,Skill Card,skill,"You can activate this Skill while you control ""Serpent Night Dragon"". Once per turn, you can reveal the top 4 cards of your Deck, and use 1 of the following Skills, depending on the number of monsters revealed.
1: Add one of the revealed cards to your hand.
2: Destroy 1 card your opponent controls.
3+: Apply both effects.
Then, place the rest of the revealed cards on top of your Deck in any order. ",Rex,,,,,,SS03-ENAS2,(C),Speed Duel Starter Decks: Ultimate Predators,1.06
78986941,Order to Charge,Spell Card,spell,"Target 1 non-Token Normal Monster you control; Tribute that Normal Monster, and if you do, destroy 1 monster your opponent controls.",Quick-Play,,,,,,SS03-ENV01,(UR),Speed Duel Starter Decks: Ultimate Predators,1.66
39019325,Order to Smash,Trap Card,trap,"Target 1 Level 2 or lower non-Token Normal Monster you control; Tribute that Normal Monster, and if you do, destroy up to 2 Spells/Traps your opponent controls.",Normal,,,,,,SS03-ENB29,(C),Speed Duel Starter Decks: Ultimate Predators,1.04
48579379,Perfectly Ultimate Great Moth,Effect Monster,effect,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by Tributing 1 ""Petit Moth"" on your 6th turn or later after it was equipped with ""Cocoon of Evolution"".",Insect,,3500.0,3000.0,8.0,EARTH,SS03-ENB01,(C),Speed Duel Starter Decks: Ultimate Predators,1.26
58192742,Petit Moth,Normal Monster,normal,This small but deadly creature is better off avoided.,Insect,,300.0,200.0,1.0,EARTH,SS03-ENB02,(C),Speed Duel Starter Decks: Ultimate Predators,1.19
63571750,Pharaoh's Treasure,Trap Card,trap,"Shuffle this card face-up into your Deck. If you draw this face-up card that was added to the Deck by this effect: Send it to the GY, then target 1 card in your GY, except this card; add that target to your hand.",Normal,,,,,,SS03-ENA27,(C),Speed Duel Starter Decks: Ultimate Predators,1.06
26185991,Pinch Hopper,Effect Monster,effect,When this card you control is sent to your GY: You can Special Summon 1 Insect monster from your hand.,Insect,,1000.0,1200.0,4.0,EARTH,SS03-ENB11,(C),Speed Duel Starter Decks: Ultimate Predators,1.12
51267887,Raise Body Heat,Spell Card,spell,Equip only to a Dinosaur monster. It gains 300 ATK/DEF.,Equip,,,,,,SS03-ENA17,(C),Speed Duel Starter Decks: Ultimate Predators,1.07
17814387,Reinforcements,Trap Card,trap,Target 1 face-up monster on the field; it gains 500 ATK until the end of this turn.,Normal,,,,,,SS03-ENA26,(C),Speed Duel Starter Decks: Ultimate Predators,1.12
66516792,Serpent Night Dragon,Normal Monster,normal,A dragon created from the soul of a wicked knight.,Dragon,,2350.0,2400.0,7.0,DARK,SS03-ENA01,(C),Speed Duel Starter Decks: Ultimate Predators,1.23
39041729,Spacetime Transcendence,Spell Card,spell,"Banish 2 or more Dinosaur monsters from your GY; Special Summon 1 Dinosaur monster from your hand or GY whose Level equals the total Levels of those banished monsters, but it cannot attack this turn.",Normal,,,,,,SS03-ENA19,(C),Speed Duel Starter Decks: Ultimate Predators,1.09
56051648,Spider Egg,Trap Card,trap,"When your opponent declares a direct attack, while you have 3 or more Insect monsters in your GY: Negate the attack, and if you do, Special Summon 3 ""Spider Tokens"" (Insect/EARTH/Level 1/ATK 100/DEF 100) in Attack Position.",Normal,,,,,,SS03-ENB26,(C),Speed Duel Starter Decks: Ultimate Predators,1.09
79816536,Summoner's Art,Spell Card,spell,Add 1 Level 5 or higher Normal Monster from your Deck to your hand.,Normal,,,,,,SS03-ENA21,(C),Speed Duel Starter Decks: Ultimate Predators,2.71
6849042,Super-Ancient Dinobeast,Effect Monster,effect,You can Tribute Summon this card in face-up Attack Position by Tributing 1 Dinosaur monster. When a Dinosaur monster(s) is Special Summoned from your GY while this monster is on the field (except during the Damage Step): You can draw 1 card.,Dinosaur,,2700.0,1400.0,8.0,EARTH,SS03-ENA08,(C),Speed Duel Starter Decks: Ultimate Predators,1.09
46457856,Tomozaurus,Normal Monster,normal,"Small but vicious, this monster even attacks its own kind.",Dinosaur,,500.0,400.0,2.0,EARTH,SS03-ENA05,(C),Speed Duel Starter Decks: Ultimate Predators,1.06
94119974,Two-Headed King Rex,Normal Monster,normal,A powerful monster whose two heads attack as one.,Dinosaur,,1600.0,1200.0,4.0,EARTH,SS03-ENA02,(C),Speed Duel Starter Decks: Ultimate Predators,1.16
22431243,Ultra Evolution Pill,Spell Card,spell,Tribute 1 Reptile monster; Special Summon 1 Dinosaur monster from your hand.,Normal,,,,,,SS03-ENA18,(C),Speed Duel Starter Decks: Ultimate Predators,1.05
1784619,Uraby,Normal Monster,normal,"Fast on its feet, this dinosaur rips enemies to shreds with its sharp claws.",Dinosaur,,1500.0,800.0,4.0,EARTH,SS03-ENA03,(C),Speed Duel Starter Decks: Ultimate Predators,1.03
80402389,Verdant Sanctuary,Spell Card,spell,When a face-up Insect monster is destroyed by battle or card effect and sent to the GY: Its controller can add 1 Insect monster with the same Level as the destroyed monster from their Deck to their hand.,Continuous,,,,,,SS03-ENB18,(C),Speed Duel Starter Decks: Ultimate Predators,1.35
18756904,White Elephant's Gift,Spell Card,spell,Send 1 face-up non-Effect Monster you control to the GY; draw 2 cards.,Normal,,,,,,SS03-ENA22,(C),Speed Duel Starter Decks: Ultimate Predators,1.05
39175982,Winged Cleaver,Normal Monster,normal,Few can withstand the scythe-like arms of this dangerous creature.,Insect,,700.0,700.0,2.0,EARTH,SS03-ENB05,(C),Speed Duel Starter Decks: Ultimate Predators,1.07
43140791,Worm Bait,Spell Card,spell,"If you control an Insect monster: Special Summon 2 ""Worm Tokens"" (Insect/EARTH/Level 1/ATK 0/DEF 0). You cannot Normal or Special Summon any Level 3 or 4 monsters the turn you activate this card.",Normal,Worm,,,,,SS03-ENB20,(C),Speed Duel Starter Decks: Ultimate Predators,1.56
